"Total
Incidents1";Offense Category;;;;;
Time of Day;;"Animal
Cruelty";"Drug/
Narcotic
Offenses";"Gambling
Offenses";"Pornography/
Obscene
Material";"Prostitution
Offenses";"Weapon
Law
Violations"
Total;1 620 563;16 497;1 290 858;1 815;31 873;11 565;267 955
Total A.M. Hours;619 854;6 206;489 208;552;14 721;3 397;105 770
Midnight - 12:59 a.m.;131 765;1 013;103 371;85;4 588;824;21 884
1 a.m. - 1:59 a.m.;77 507;152;61 550;45;464;498;14 798
2 a.m. - 2:59 a.m.;61 648;99;48 263;23;390;345;12 528
3 a.m. - 3:59 a.m.;40 656;92;31 796;28;308;156;8 276
4 a.m. - 4:59 a.m.;25 329;70;19 508;18;225;77;5 431
5 a.m. - 5:59 a.m.;17 812;84;13 393;13;237;41;4 044
6 a.m. - 6:59 a.m.;19 461;170;15 172;10;399;49;3 661
7 a.m. - 7:59 a.m.;29 080;365;23 362;24;718;76;4 535
8 a.m. - 8:59 a.m.;43 575;764;34 249;52;2 040;168;6 302
9 a.m. - 9:59 a.m.;51 712;983;41 349;71;1 886;270;7 153
10 a.m. - 10:59 a.m.;59 569;1 255;47 730;91;1 816;353;8 324
11 a.m. - 11:59 a.m.;61 740;1 159;49 465;92;1 650;540;8 834
Total P.M. Hours;977 831;10 130;782 225;1 224;16 559;8 092;159 601
Noon - 12:59 p.m.;65 545;1 419;50 928;137;2 656;602;9 803
1 p.m. - 1:59 p.m.;67 880;1 168;54 372;119;1 923;580;9 718
2 p.m. - 2:59 p.m.;75 154;1 300;60 549;108;1 883;652;10 662
3 p.m. - 3:59 p.m.;79 234;1 175;63 748;106;1 789;736;11 680
4 p.m. - 4:59 p.m.;79 408;1 117;63 941;136;1 471;739;12 004
5 p.m. - 5:59 p.m.;74 730;954;59 640;120;1 245;716;12 055
6 p.m. - 6:59 p.m.;76 294;795;60 660;119;1 181;755;12 784
7 p.m. - 7:59 p.m.;81 650;666;65 313;96;1 056;671;13 848
8 p.m. - 8:59 p.m.;87 545;556;70 037;85;975;690;15 202
9 p.m. - 9:59 p.m.;94 506;417;75 462;77;916;699;16 935
10 p.m. - 10:59 p.m.;97 715;323;78 392;70;795;644;17 491
11 p.m. - 11:59 p.m.;98 170;240;79 183;51;669;608;17 419
Unknown Time of Day;22 878;161;19 425;39;593;76;2 584
;;;;;;;
